Data,Regione,Noleggi auto,Noleggi moto,Noleggi bici
04/01/2013,Emilia Romagna,52.03,25.55,5.04
04/01/2013,Val d'Aosta,48.01,4.09,3.03
05/01/2013,Lombardia,75.99,0.71,0.19
05/01/2013,Veneto,64.41,25.43,2.24
05/01/2013,Piemonte,10.73,15.27,7.59
05/01/2013,Lazio,50.24,42.21,4.95
05/01/2013,Toscana,42.55,14.53,3.26
05/01/2013,Campania,25.81,12.74,2.29
05/01/2013,Abruzzo,4.22,5.36,1.05
05/01/2013,Marche,21.96,19,3.76
05/01/2013,Basilicata,6.92,0.01,0.45
05/01/2013,Sicilia,24.83,11.76,2.21
05/01/2013,Calabria,19.17,6.16,1.43
05/01/2013,Sardegna,0.97,4.82,0.49
05/01/2013,Emilia Romagna,58.99,27.14,4.89
05/01/2013,Val d'Aosta,37.07,27.65,2.03
06/01/2013,Lombardia,65.23,9.93,8.2
06/01/2013,Veneto,58.04,10.66,2.09
06/01/2013,Piemonte,45.38,18.81,9
06/01/2013,Lazio,42.8,39.6,0.65
06/01/2013,Toscana,30.39,26.54,0.73
06/01/2013,Campania,4.8,3.21,2.51
06/01/2013,Abruzzo,0.81,6.07,0.11
06/01/2013,Marche,27.26,3.6,3.65
06/01/2013,Basilicata,3.27,2.82,0.94
06/01/2013,Sicilia,15.55,0.43,1.81
06/01/2013,Calabria,18.3,2.61,0.73
06/01/2013,Sardegna,10.9,6.83,3.84
06/01/2013,Emilia Romagna,30.29,23.11,5.98
06/01/2013,Val d'Aosta,50.49,13.85,4.29
07/01/2013,Lombardia,92.12,18.36,2.68
07/01/2013,Veneto,54.04,0.33,5.25
07/01/2013,Piemonte,59.35,20.17,0.38
07/01/2013,Lazio,75.67,27.52,1.33
07/01/2013,Toscana,48.68,7.81,6.85
07/01/2013,Campania,7.97,2.37,2.41
07/01/2013,Abruzzo,12.08,6.24,0.61
07/01/2013,Marche,5.55,19.81,4.63
07/01/2013,Basilicata,9.28,1.32,0.12
07/01/2013,Sicilia,16.14,12.01,1.64
07/01/2013,Calabria,15.49,2.18,0.78
07/01/2013,Sardegna,3.26,9.06,0.54
07/01/2013,Emilia Romagna,20.93,11.37,6.03
07/01/2013,Val d'Aosta,56.27,22.32,1.53
08/01/2013,Lombardia,29.78,49.8,9.77
08/01/2013,Veneto,34.23,29.95,2.25
08/01/2013,Piemonte,44.69,36.03,0.53
08/01/2013,Lazio,32.34,10.17,3.99
08/01/2013,Toscana,65.22,18.3,0.94
08/01/2013,Campania,14.4,13.97,2.55
08/01/2013,Abruzzo,11.83,4.99,1.71
08/01/2013,Marche,10.8,15.33,2.94
08/01/2013,Basilicata,2.62,1,0.16
08/01/2013,Sicilia,15.48,3.16,2.19
08/01/2013,Calabria,5.19,8.4,1.82
08/01/2013,Sardegna,21.64,7.72,0.86
08/01/2013,Emilia Romagna,15.07,4.26,1.81
08/01/2013,Val d'Aosta,25.16,6.43,0.91
09/01/2013,Lombardia,81.46,45.02,9.33
09/01/2013,Veneto,43.76,32.2,1.47
09/01/2013,Piemonte,23.37,3.45,5.69
09/01/2013,Lazio,70.07,37.91,7.48
09/01/2013,Toscana,21.12,38.59,2.86
09/01/2013,Campania,14.47,2.58,0.24
09/01/2013,Abruzzo,14.87,4.76,1.95
09/01/2013,Marche,28.94,2.73,0.81
09/01/2013,Basilicata,9.76,4.56,0.72
09/01/2013,Sicilia,17.01,14.92,1.46
09/01/2013,Calabria,12.6,6.1,1
09/01/2013,Sardegna,29.87,5.34,1.68
09/01/2013,Emilia Romagna,67.27,25.57,3.92
09/01/2013,Val d'Aosta,30.68,17.53,1.28
10/01/2013,Lombardia,97.73,38.57,7.75
10/01/2013,Veneto,26.99,6.56,1.87
10/01/2013,Piemonte,87.58,22.38,0.99
10/01/2013,Lazio,0.18,30.59,6.73
10/01/2013,Toscana,21,12.4,2.31
10/01/2013,Campania,11.22,5.32,1.03
10/01/2013,Abruzzo,3.17,7.77,0.21
10/01/2013,Marche,39.05,14.14,2.27
10/01/2013,Basilicata,1.16,4.8,0.48
10/01/2013,Sicilia,18.24,0.58,0.91
10/01/2013,Calabria,9.88,5.99,0.25
10/01/2013,Sardegna,39.63,13.69,3.56
10/01/2013,Emilia Romagna,14.8,26.67,3.79
10/01/2013,Val d'Aosta,15.3,19.89,4.77
